GENRE	Number_of_SMAGs	supergroup	taxogroup_1	taxogroup_2	taxogroup_middle	genus
Strombidium	3	20000	18850	2121	1361	155
Aureococcus	6	10648	6926	119	84	11
Bathycoccus	8	7436	7089	633	19	5
Cafeteria	1	10648	1228	230	205	26
Chaetoceros	11	10648	6926	5430	2325	632
Cylindrotheca	2	10648	6926	5430	1929	11
Emiliania	5	953	746	746	7	0
Florenciella	3	10648	6926	269	57	0
Fragilariopsis	5	10648	6926	5430	1929	135
Geminigera	7	343	439	439	239	5
Haptolina	2	953	746	746	59	7
Leptocylindrus	1	10648	6926	5430	53	35
Mantoniella	1	7436	7089	633	68	3
Micromonas	20	7436	7089	633	68	44
Minidiscus	2	10648	6926	5430	2325	5
Minutocellus	2	10648	6926	5430	2325	4
Ostreococcus	4	7436	7089	633	19	14
Pelagococcus	2	10648	6926	119	84	14
Phaeocystis	27	953	746	746	104	80
Picochlorum	1	7436	7089	879	524	4
Prasinoderma	2	7436	37	37	31	21
Pseudo-nitzschia	7	10648	6926	5430	1929	275
Pycnococcus	3	7436	7089	12	12	12
Sister_Pelagomonas	2	10648	6926	119	84	8
Skeletonema	3	10648	6926	5430	2325	45
Attheya	1	10648	6926	5430	128	60
Synedropsis	1	10648	6926	5430	1929	60
Thalassiosira	5	10648	6926	5430	2325	593
New_Bacillariaceae_01	3	10648	6926	5430	0	0
New_Bicosoecales_01	8	10648	1228	230	0	0
New_Choanozoa_01	11	20000	298	0	0	0
New_Choreotrichida _01	15	20000	18850	2121	1361	0
New_Chrysochromulinaceae_01	39	953	746	746	333	0
New_Ciliophora_01	2	20000	18850	0	0	0
New_Cyrtolophosidida_01	4	20000	18850	182	69	0
New_Haptophyta_01	10	953	0	0	0	0
New_MALV-I_01	2	20000	20000	11911	0	0
New_MALV-II_01	2	20000	20000	9698	0	0
New_MAST-4	25	10648	1655	68	0	0
MALV-I	2	20000	20000	11911	0	0
MALV-II	3	20000	20000	9698	0	0
New_Chrysophyceae	23	10648	6926	397	0	0
Unidentified_Bacillariaceae	2	10648	6926	5430	0	0
Unidentified_Cercozoa	2	19891	2625	0	0	0
Chloropicon	11	7436	7089	138	138	80
chloroparvula	7	7436	7089	138	138	58
New_Bacillariaceae_02	2	10648	6926	5430	0	0
New_Chlorophyta_01	6	7436	7089	0	0	0
